CAS,ICH Limit,ICH Class,In Ch I Key,In Ch I,PC1,PC2,PC3,PC4,PC5,Name
108-20-3,,,ZAFNJMIOTHYJRJ-UHFFFAOYSA-N,"InChI=1S/C6H14O/c1-5(2)7-6(3)4/h5-6H,1-4H3",2.44956,-0.273683,-1.01215,-3.40894,-0.903594,Di-isopropylether
110-54-3,290,2,VLKZOEOYAKHREP-UHFFFAOYSA-N,"InChI=1S/C6H14/c1-3-5-6-4-2/h3-6H2,1-2H3",6.4397,-5.23461,0.186644,-3.68334,0.00238809,n-Hexane
76-05-1,,,DTQVDTLACAAQTR-UHFFFAOYSA-N,"InChI=1S/C2HF3O2/c3-2(4,5)1(6)7/h(H,6,7)",-9.7908,-7.7192,11.2503,-0.606578,-0.757968,"2,2,2-Trifluoroacetic Acid [TFA]"
96-37-7,,,GDOPTJXRTPNYNR-UHFFFAOYSA-N,"InChI=1S/C6H12/c1-6-4-2-3-5-6/h6H,2-5H2,1H3",4.40048,-5.39104,-0.45836,-2.23816,-0.209832,Methylcyclopentane
75-89-8,,,RHQDFWAXVIIEBN-UHFFFAOYSA-N,"InChI=1S/C2H3F3O/c3-2(4,5)1-6/h6H,1H2",-6.72189,-6.73863,5.76113,0.904505,0.809133,"2,2,2-Trifluoroethanol"
71-55-6,1500,1,UOCLXMDMGBRAIB-UHFFFAOYSA-N,"InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3",3.00518,-4.57856,-1.29164,0.547217,1.42287,"1,1,1-Trichloroethane"
646-06-0,,,WNXJIVFYUVYPPR-UHFFFAOYSA-N,InChI=1S/C3H6O2/c1-2-5-3-4-1/h1-3H2,-2.90482,-2.5993,-2.99917,-1.09752,-0.102012,"1,3-Dioxolane"
2511-17-3,,,YRWJRJCUZYGLPN-UHFFFAOYSA-N,"InChI=1S/C5H15N2OP/c1-6(2)9(5,8)7(3)4/h1-5H3",-3.36411,7.79931,-1.93648,-0.679509,-1.17989,Pentamethyl Phosphonic Diamide
56-23-5,4,1,VZGDMQKNWNREIO-UHFFFAOYSA-N,"InChI=1S/CCl4/c2-1(3,4)5",4.51663,-5.58486,-1.10445,-0.143139,-0.045966,Tetrachloromethane [Carbon Tetrachloride]
141-78-6,5000,3,XEKOWRVHYACXOJ-UHFFFAOYSA-N,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",-0.649342,-1.50367,-2.24681,-2.20261,1.0132,Ethyl Acetate
109-73-9,,,HQABUPZFAYXKJW-UHFFFAOYSA-N,"InChI=1S/C4H11N/c1-2-3-4-5/h2-5H2,1H3",-2.53329,1.25937,-1.86475,-2.90118,-2.33359,1-Butylamine
64-17-5,5000,3,LFQSCWFLJHTTHZ-UHFFFAOYSA-N,"InChI=1S/C2H6O/c1-2-3/h3H,2H2,1H3",-6.8371,-3.676,1.11638,-2.0345,-0.948893,Ethanol
78-93-3,5000,3,ZWEHNKRNPOVVGH-UHFFFAOYSA-N,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",-1.47901,-1.118,-3.00926,-1.40615,0.410937,Butanone [MEK]
554-12-1,,,RJUFJBKOKNCXHH-UHFFFAOYSA-N,"InChI=1S/C4H8O2/c1-3-4(5)6-2/h3H2,1-2H3",-0.740185,-1.83783,-1.9521,-2.04831,1.17614,Methyl Propionate
96-47-9,,,JWUJQDFVADABEY-UHFFFAOYSA-N,"InChI=1S/C5H10O/c1-5-3-2-4-6-5/h5H,2-4H2,1H3",2.05009,2.48903,-4.41974,2.44756,-10.5634,2-Methyltetrahydrofuran [2-MeTHF]
71-43-2,2,1,UHOVQNZJYSORNB-UHFFFAOYSA-N,InChI=1S/C6H6/c1-2-4-6-5-3-1/h1-6H,3.24748,-4.79837,-1.63234,1.17202,-1.55152,Benzene
