CAS,ICH Limit,ICH Class,In Ch I Key,In Ch I,PC1,PC2,PC3,PC4,PC5,Name
127-18-4,80,2,CYTYCFOTNPOANT-UHFFFAOYSA-N,InChI=1S/C2Cl4/c3-1(4)2(5)6,4.49867,-4.64387,-1.05374,1.25923,-1.60111,Tetrachloroethene
110-01-0,,,RAOIDOHSFRTOEL-UHFFFAOYSA-N,InChI=1S/C4H8S/c1-2-4-5-3-1/h1-4H2,0.977991,-2.72708,-2.69631,2.30842,-1.83147,Tetrahydrothiophene
107-98-2,,,ARXJGSRGQADJSQ-UHFFFAOYSA-N,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3",-2.76111,-0.0234369,-0.718538,-1.3665,0.0397147,PM Glycol Ether [1-Methoxy-2-propanol]
107-98-2,,,ARXJGSRGQADJSQ-UHFFFAOYSA-N,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3",-2.86796,0.209277,-1.13539,-1.44295,0.185015,1-Methoxypropan-2-ol
105-54-4,,,OBNCKNCVKJNDBV-UHFFFAOYSA-N,"InChI=1S/C6H12O2/c1-3-5-6(7)8-4-2/h3-5H2,1-2H3",1.55145,-0.243731,-0.823583,-1.99333,1.0978,Ethyl butyrate
106-36-5,,,MCSINKKTEDDPNK-UHFFFAOYSA-N,"InChI=1S/C6H12O2/c1-3-5-8-6(7)4-2/h3-5H2,1-2H3",4.5603,4.05439,1.8311,-0.679045,0.656823,n-Propyl Propionate
111-65-9,,,TVMXDCGIABBOFY-UHFFFAOYSA-N,"InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3",7.84404,-3.28431,1.46227,-2.66848,0.0377296,n-Octane
289-95-2,,,CZPWVGJYEJSRLH-UHFFFAOYSA-N,InChI=1S/C4H4N2/c1-2-5-4-6-3-1/h1-4H,-3.22157,0.787724,-2.91804,1.95569,0.0193262,Pyrimidine
109-86-4,50,2,XNWFRZJHXBZDAG-UHFFFAOYSA-N,"InChI=1S/C3H8O2/c1-5-3-2-4/h4H,2-3H2,1H3",-5.28528,-0.863147,0.149651,-1.06035,-0.461615,Methyl Cellosolve [2-Methoxyethanol]
565-80-0,,,HXVNBWAKAOHACI-UHFFFAOYSA-N,"InChI=1S/C7H14O/c1-5(2)7(8)6(3)4/h5-6H,1-4H3",1.79938,0.750799,-1.22962,-0.884622,0.143899,"2,4-Dimethyl-3-pentanone [Diisopropyl ketone]"
123-86-4,5000,3,DKPFZGUDAPQIHT-UHFFFAOYSA-N,"InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3",1.58361,0.124714,-0.800722,-1.90324,1.18449,n-Butyl Acetate
616-42-2,,,BDUPRNVPXOHWIL-UHFFFAOYSA-N,InChI=1S/C2H6O3S/c1-4-6(3)5-2/h1-2H3,-0.838404,-1.73469,-2.16002,0.3466,1.7674,Dimethyl Sulfite
105-58-8,,,OIFBSDVPJOWBCH-UHFFFAOYSA-N,"InChI=1S/C5H10O3/c1-3-7-5(6)8-4-2/h3-4H2,1-2H3",1.593,-0.540137,-0.641984,-2.3487,1.28387,Diethyl Carbonate
7087-68-5,,,JGFZNNIVVJXRND-UHFFFAOYSA-N,"InChI=1S/C8H19N/c1-6-9(7(2)3)8(4)5/h7-8H,6H2,1-5H3",4.89075,1.16705,-0.455425,-1.07769,-3.28526,"N-Ethyl-N-isopropylpropan-2-amine [Diispropylethylamine, Hunig's Base]"
591-78-6,,,QQZOPKMRPOGIEB-UHFFFAOYSA-N,"InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3",0.0768134,0.775803,-1.57643,-1.18064,0.506916,"Hexan-2-one [Methylbutylketone, MBK]"
110-91-8,,,YNAVUWVOSKDBBP-UHFFFAOYSA-N,"InChI=1S/C4H9NO/c1-3-6-4-2-5-1/h5H,1-4H2",-3.90904,2.31485,-2.69152,-0.611439,-2.284,Morpholine
137-32-6,,,QPRQEDXDYOZYLA-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3",-1.99901,-1.19087,2.53451,-1.6474,-1.3244,2-Methyl Butanol
109-06-8,,,BSKHPKMHTQYZBB-UHFFFAOYSA-N,"InChI=1S/C6H7N/c1-6-4-2-3-5-7-6/h2-5H,1H3",-0.565146,0.672246,-1.96621,1.22144,-1.17457,2-Methylpyridine [2-Picoline]
109-97-7,,,KAESVJOAVNADME-UHFFFAOYSA-N,InChI=1S/C4H5N/c1-2-4-5-3-1/h1-5H,-3.50197,-4.3225,2.46632,3.29681,-2.47776,Pyrrole
1678-91-7,,,IIEWJVIFRVWJOD-UHFFFAOYSA-N,"InChI=1S/C8H16/c1-2-8-6-4-3-5-7-8/h8H,2-7H2,1H3",6.22973,-3.42371,0.358116,-1.35139,-0.881465,Ethylcyclohexane
120-92-3,,,BGTOWKSIORTVQH-UHFFFAOYSA-N,InChI=1S/C5H8O/c6-5-3-1-2-4-5/h1-4H2,-1.5719,-0.379222,-2.98984,0.3005,0.0103344,Cyclopentanone
123-51-3,5000,3,PHTQWCKDNZKARW-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-5(2)3-4-6/h5-6H,3-4H2,1-2H3",-3.26716,-0.943897,2.59167,-1.21117,-0.848406,3-Methylbutan-1-ol
108-03-2,,,JSZOAYXJRCEYSX-UHFFFAOYSA-N,"InChI=1S/C3H7NO2/c1-2-3-4(5)6/h2-3H2,1H3",-0.638764,-2.65281,-1.96557,0.844981,3.29501,1-Nitropropane
79-46-9,,,FGLBSLMDCBOPQK-UHFFFAOYSA-N,"InChI=1S/C3H7NO2/c1-3(2)4(5)6/h3H,1-2H3",-0.608593,-2.86582,-1.99477,0.463773,2.89232,2-Nitropropane
108-11-2,,,WVYWICLMDOOCFB-UHFFFAOYSA-N,"InChI=1S/C6H14O/c1-5(2)4-6(3)7/h5-7H,4H2,1-3H3",-1.32958,-0.0646447,2.43219,-1.24635,-0.37168,Methyl Isobutyl Carbinol
108-90-7,360,2,MVPPADPHJFYWMZ-UHFFFAOYSA-N,InChI=1S/C6H5Cl/c7-6-4-2-1-3-5-6/h1-5H,3.29928,-3.34009,-1.28965,3.35378,-0.371296,Chlorobenzene
108-91-8,,,PAFZNILMFXTMIY-UHFFFAOYSA-N,"InChI=1S/C6H13N/c7-6-4-2-1-3-5-6/h6H,1-5,7H2",-0.864705,2.08926,-1.59741,-1.49475,-2.44565,Cyclohexylamine
110-80-5,,,ZNQVEEAIQZEUHB-UHFFFAOYSA-N,"InChI=1S/C4H10O2/c1-2-6-4-3-5/h5H,2-4H2,1H3",-3.35696,0.0741294,0.0462025,-1.21974,0.0135332,2-Ethoxyethanol
100-41-4,,,YNQLUTRBYVCPMQ-UHFFFAOYSA-N,"InChI=1S/C8H10/c1-2-8-6-4-3-5-7-8/h3-7H,2H2,1H3",5.02577,-2.98897,-0.395021,1.19302,-1.4861,Ethylbenzene
71-41-0,5000,3,AMQJEAYHLZJPGS-UHFFFAOYSA-N,"InChI=1S/C5H12O/c1-2-3-4-5-6/h6H,2-5H2,1H3",-2.7643,-0.852872,2.81625,-1.09108,-0.869124,Pentan-1-ol
106-42-3,2170,2,URLKBWYHVLBVBO-UHFFFAOYSA-N,"InChI=1S/C8H10/c1-7-3-5-8(2)6-4-7/h3-6H,1-2H3",5.74192,-2.2148,0.0354025,1.34743,-1.99868,p-Xylene
108-24-7,,,WFDIJRYMOXRFFG-UHFFFAOYSA-N,InChI=1S/C4H6O3/c1-3(5)7-4(2)6/h1-2H3,-1.54504,-0.744288,-1.6852,0.566744,2.8611,Acetic Anhydride
123-54-6,,,YRKCREAYFQTBPV-UHFFFAOYSA-N,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",-1.65035,1.20012,-1.84785,1.25239,1.03791,"Pentane-2,4-dione [Acetylacetone]"
79-09-4,,,XBDQKXXYIPTUBI-UHFFFAOYSA-N,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",-6.78461,-3.76353,5.55202,-0.586068,-0.964241,Propanoic Acid
142-96-1,,,DURPTKYDGMDSBL-UHFFFAOYSA-N,"InChI=1S/C8H18O/c1-3-5-7-9-8-6-4-2/h3-8H2,1-2H3",4.69166,1.20323,0.674212,-2.76048,-0.416863,Di-n-butylether
60433-11-6,,,UWEYRJFJVCLAGH-UHFFFAOYSA-N,"InChI=1S/C10F18/c11-1-2(12,5(17,18)9(25,26)7(21,22)3(1,13)14)6(19,20)10(27,28)8(23,24)4(1,15)16",10.9205,-1.87484,3.86093,-4.37456,2.31021,Perfluorodecalin
123-92-2,,,MLFHJEHSLIIPHL-UHFFFAOYSA-N,"InChI=1S/C7H14O2/c1-6(2)4-5-9-7(3)8/h6H,4-5H2,1-3H3",2.31147,0.919083,-0.157217,-1.58837,1.30269,Isopentyl Acetate [Isoamyl acetate]
108-48-5,,,OISVCGZHLKNMSJ-UHFFFAOYSA-N,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",0.628601,1.89399,-1.38012,0.88065,-1.48847,"2,6-Dimethylpyridine [2,6-Lutidine]"
122-51-0,,,GKASDNZWUGIAMG-UHFFFAOYSA-N,"InChI=1S/C7H16O3/c1-4-8-7(9-5-2)10-6-3/h7H,4-6H2,1-3H3",1.62682,2.94909,0.00291251,-2.29583,0.776792,Triethoxymethane [Triethyl orthoformate]
108-65-6,,,LLHKCFNBLRBOGN-UHFFFAOYSA-N,"InChI=1S/C6H12O3/c1-5(4-8-3)9-6(2)7/h5H,4H2,1-3H3",-0.669863,1.83572,-1.85387,4.56854,0.434328,PMA Glycol Ether [1-methoxy-2-propanol acetate]
628-63-7,,,PGMYKACGEOXYJE-UHFFFAOYSA-N,"InChI=1S/C7H14O2/c1-3-4-5-6-9-7(2)8/h3-6H2,1-2H3",2.41815,1.04865,-0.111091,-1.67326,1.35817,n-Pentyl Acetate
79-34-5,,,QPFMBZIOSGYJDE-UHFFFAOYSA-N,InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H,1.24996,-3.99565,2.62537,3.27509,0.920927,"1,1,2,2-Tetrachloroethane"
111-84-2,,,BKIMMITUMNQMOS-UHFFFAOYSA-N,"InChI=1S/C9H20/c1-3-5-7-9-8-6-4-2/h3-9H2,1-2H3",8.70082,-2.25706,2.09121,-2.23023,-0.123578,n-Nonane
1569-01-3,,,FENFUOGYJVOCRY-UHFFFAOYSA-N,"InChI=1S/C6H14O2/c1-3-4-8-5-6(2)7/h6-7H,3-5H2,1-2H3",-0.48314,1.59821,-0.21765,-1.38936,0.206216,PnP Glycol Ether [1-Propoxy-2-propanol]
2807-30-9,,,YEYKMVJDLWJFOA-UHFFFAOYSA-N,"InChI=1S/C5H12O2/c1-2-4-7-5-3-6/h6H,2-5H2,1H3",-2.62005,0.870106,0.492484,-1.29295,-0.0183773,Propyl Cellosolve [2-Propoxyethanol]
100-66-3,5000,3,RDOXTESZEPMUJZ-UHFFFAOYSA-N,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",3.0188,-1.34203,-0.886833,2.91594,-1.1059,Anisole
98-82-8,,,RWGFKTVRMDUZSP-UHFFFAOYSA-N,"InChI=1S/C9H12/c1-8(2)9-6-4-3-5-7-9/h3-8H,1-2H3",6.16732,-1.81424,0.487259,1.34341,-1.28758,Isopropylbenzene
68-12-2,880,2,ZMXDDKWLCZADIW-UHFFFAOYSA-N,"InChI=1S/C3H7NO/c1-4(2)3-5/h3H,1-2H3",-5.08112,1.55541,-3.71763,0.752001,0.599084,"DMF [N,N-Dimethylformamide]"
107-51-7,,,CXQXSVUQTKDNFP-UHFFFAOYSA-N,"InChI=1S/C8H24O2Si3/c1-11(2,3)9-13(7,8)10-12(4,5)6/h1-8H3",11.0181,2.66874,4.05506,-0.947221,0.305732,Octamethyltrisiloxane [MDM]
97-64-3,,,LZCLXQDLBQLTDK-UHFFFAOYSA-N,"InChI=1S/C5H10O3/c1-3-8-5(7)4(2)6/h4,6H,3H2,1-2H3",-1.7406,0.8075,-0.364763,-0.350021,1.82471,Ethyl Lactate
79-31-2,,,KQNPFQTWMSNSAP-UHFFFAOYSA-N,"InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)",-5.52052,-2.82788,6.23079,-1.0606,-1.43987,Isobutyric acid
108-94-1,,,JHIVVAPYMSGYDF-UHFFFAOYSA-N,InChI=1S/C6H10O/c7-6-4-2-1-3-5-6/h1-5H2,-0.553952,0.643086,-2.59907,0.59781,-0.259915,Cyclohexanone
108-86-1,,,QARVLSVVCXYDNA-UHFFFAOYSA-N,InChI=1S/C6H5Br/c7-6-4-2-1-3-5-6/h1-5H,3.46371,-2.76354,-0.981335,4.37912,-0.458873,Bromobenzene
111-15-9,,,SVONRAPFKPVNKG-UHFFFAOYSA-N,"InChI=1S/C6H12O3/c1-3-8-4-5-9-6(2)7/h3-5H2,1-2H3",-0.0392702,2.86111,-0.639804,-1.252,1.15176,2-Ethoxyethyl Acetate
111-27-3,,,ZSIAUFGUXNUGDI-UHFFFAOYSA-N,"InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3",-1.71547,0.0633819,3.42011,-0.979458,-0.868482,1-Hexanol
3741-38-6,,,WDXYVJKNSMILOQ-UHFFFAOYSA-N,InChI=1S/C2H4O3S/c3-6-4-1-2-5-6/h1-2H2,-1.29881,-2.5432,-1.95029,2.94897,2.74482,"1,3,2-Dioxathiolane-2-oxide"
111-92-2,,,JQVDAXLFBXTEQA-UHFFFAOYSA-N,"InChI=1S/C8H19N/c1-3-5-7-9-8-6-4-2/h9H,3-8H2,1-2H3",2.78726,3.55864,0.532734,-2.19684,-2.25272,Dibutylamine
111-96-6,,,SBZXBUIDTXKZTM-UHFFFAOYSA-N,"InChI=1S/C6H14O3/c1-7-3-5-9-6-4-8-2/h3-6H2,1-2H3",-0.771327,5.44963,-0.996489,-2.44881,-0.397098,Diglyme [Diethyleneglycol dimethyl ether]
76-01-7,,,BNIXVQGCZULYKV-UHFFFAOYSA-N,"InChI=1S/C2HCl5/c3-1(4)2(5,6)7/h1H",3.2415,-3.4936,2.23427,2.37733,0.485803,Pentachloroethane
108-93-0,,,HPXRVTGHNJAIIH-UHFFFAOYSA-N,"InChI=1S/C6H12O/c7-6-4-2-1-3-5-6/h6-7H,1-5H2",-2.46101,-0.080649,1.6858,0.322257,-1.37208,Cyclohexanol
98-01-1,,,HYBBIBNJHNGZAN-UHFFFAOYSA-N,InChI=1S/C5H4O2/c6-4-5-2-1-3-7-5/h1-4H,-2.31872,0.0679379,-1.77534,4.70834,1.08821,Furfural
583-60-8,,,LFSAPCRASZRSKS-UHFFFAOYSA-N,"InChI=1S/C7H12O/c1-6-4-2-3-5-7(6)8/h6H,2-5H2,1H3",0.496093,1.06345,-1.75776,0.0507666,-0.592298,2-Methylcyclohexanone
107-92-6,,,FERIUCNNQQJTOY-UHFFFAOYSA-N,"InChI=1S/C4H8O2/c1-2-3-4(5)6/h2-3H2,1H3,(H,5,6)",-4.91685,-2.7986,5.74195,-0.763212,-1.14215,Butyric acid
628-73-9,,,AILKHAQXUAOOFU-UHFFFAOYSA-N,"InChI=1S/C6H11N/c1-2-3-4-5-6-7/h2-5H2,1H3",0.64183,-0.827949,-0.863312,-0.339888,3.10634,Hexanenitrile
108-67-8,,,AUHZEENZYGFFBQ-UHFFFAOYSA-N,"InChI=1S/C9H12/c1-7-4-8(2)6-9(3)5-7/h4-6H,1-3H3",6.6148,-0.578672,0.341697,1.36373,-1.84522,"Mesitylene [1,3,5-Trimethylbenzene]"
624-54-4,,,TWSRVQVEYJNFKQ-UHFFFAOYSA-N,"InChI=1S/C8H16O2/c1-3-5-6-7-10-8(9)4-2/h3-7H2,1-2H3",3.43772,1.30668,0.498072,-1.69732,1.15883,n-Pentyl Propionate
127-19-5,1090,2,FXHOOIRPVKKKFG-UHFFFAOYSA-N,InChI=1S/C4H9NO/c1-4(6)5(2)3/h1-3H3,-4.29237,3.02392,-3.37915,0.545871,0.145789,"DMA [N,N-Dimethylacetamide]"
108-83-8,,,PTTPXKJBFFKCEK-UHFFFAOYSA-N,"InChI=1S/C9H18O/c1-7(2)5-9(10)6-8(3)4/h7-8H,5-6H2,1-4H3",4.08788,2.17254,0.294017,-0.607983,0.518781,"2,6-Dimethyl-4-heptanone [Diisobutyl ketone]"
123-42-2,,,SWXVUIWOUIDPGS-UHFFFAOYSA-N,"InChI=1S/C6H12O2/c1-5(7)4-6(2,3)8/h8H,4H2,1-3H3",-2.50863,2.98646,-1.32478,-0.110683,1.04734,4-Hydroxy-4-methylpentan-2-one
763-69-9,,,BHXIWUJLHYHGSJ-UHFFFAOYSA-N,"InChI=1S/C7H14O3/c1-3-9-6-5-7(8)10-4-2/h3-6H2,1-2H3",1.97897,-0.0824705,0.203245,-2.74958,1.68665,Ethyl 3-Ethoxypropionate
103-73-1,,,DLRJIFUOBPOJNS-UHFFFAOYSA-N,"InChI=1S/C8H10O/c1-2-9-8-6-4-3-5-7-8/h3-7H,2H2,1H3",4.30035,-0.519954,-0.26524,2.68989,-0.925248,Ethoxybenzene [phenetole]
141-43-5,,,HZAXFHJVJLSVMW-UHFFFAOYSA-N,"InChI=1S/C2H7NO/c3-1-2-4/h4H,1-3H2",-8.38199,0.423377,-0.393555,1.23633,-0.977211,Ethanolamine [2-Aminoethanol]
111-76-2,,,POAOYUHQDCAZBD-UHFFFAOYSA-N,"InChI=1S/C6H14O2/c1-2-3-5-8-6-4-7/h7H,2-6H2,1H3",-1.24016,1.79808,1.22264,-1.07427,0.209733,Butyl Cellosolve [Ethylene glycol monobutyl ether]
5131-66-8,,,RWNUSVWFHDHRCJ-UHFFFAOYSA-N,"InChI=1S/C7H16O2/c1-3-4-5-9-6-7(2)8/h7-8H,3-6H2,1-2H3",0.978998,2.33226,0.14015,-1.38571,0.452169,PnB Glycol Ether [3-Butoxypropan-2-ol]
541-73-1,,,ZPQOPVIELGIULI-UHFFFAOYSA-N,InChI=1S/C6H4Cl2/c7-5-2-1-3-6(8)4-5/h1-4H,4.74542,-1.67792,0.091056,4.43084,-0.0737213,"1,3-Dichlorobenzene"
142-92-7,,,AOGQPLXWSUTHQB-UHFFFAOYSA-N,"InChI=1S/C8H16O2/c1-3-4-5-6-7-10-8(2)9/h3-7H2,1-2H3",3.31021,1.96907,0.550602,-1.38165,1.38379,Hexyl Acetate
124-18-5,,,DIOQZVSQGTUSAI-UHFFFAOYSA-N,"InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3",9.43312,-1.6408,2.77792,-2.18634,0.270926,Decane
111109-77-4,,,OQUIHNRSFOIOFU-UHFFFAOYSA-N,"InChI=1S/C8H18O3/c1-7(10-4)6-11-8(2)5-9-3/h7-8H,5-6H2,1-4H3",1.33946,5.27547,0.0709312,-2.02499,-0.279248,Dipropylene Glycol Dimethyl Ether
104986-37-0,,,HMMGMWAXVFQUOA-UHFFFAOYSA-N,"InChI=1S/C8H24O4Si4/c1-13(2)9-14(3,4)11-16(7,8)12-15(5,6)10-13/h1-8H3",12.1781,5.31867,5.12363,-0.402146,1.00867,Octamethylcyclotetrasiloxane [D4]
632-22-4,,,AVQQQNCBBIEMEU-UHFFFAOYSA-N,InChI=1S/C5H12N2O/c1-6(2)5(8)7(3)4/h1-4H3,-6.42158,11.3027,-2.69706,-2.76249,-2.13088,"TMU [1,1,3,3-Tetramethylurea]"
111-70-6,,,BBMCTIGTTCKYKF-UHFFFAOYSA-N,"InChI=1S/C7H16O/c1-2-3-4-5-6-7-8/h8H,2-7H2,1H3",-0.533689,0.91061,4.09596,-0.810862,-0.774663,1-Heptanol
5989-27-5,,,XMGQYMWWDOXHJM-UHFFFAOYSA-N,"InChI=1S/C10H16/c1-8(2)10-6-4-9(3)5-7-10/h4,10H,1,5-7H2,2-3H3",7.08493,-0.644653,0.563942,1.22877,-1.57243,1-Methyl-4-(prop-1-en-2-yl)cyclohex-1-ene [D-Limonene]
99-87-6,,,HFPZCAJZSCWRBC-UHFFFAOYSA-N,"InChI=1S/C10H14/c1-8(2)10-6-4-9(3)5-7-10/h4-8H,1-3H3",7.23036,-0.931718,1.12616,1.3351,-1.68546,p-Cymene
496-11-7,,,PQNFLJBBNBOBRQ-UHFFFAOYSA-N,"InChI=1S/C9H10/c1-2-5-9-7-3-6-8(9)4-1/h1-2,4-5H,3,6-7H2",4.90998,-2.32791,-0.439322,2.8143,-1.86251,Indane
95-50-1,,,RFFLAFLAYFXFSW-UHFFFAOYSA-N,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,3.6549,-2.17616,-0.77478,4.76397,0.167424,"1,2-Dichlorobenzene"
141-97-9,,,XYIBRDXRRQCHLP-UHFFFAOYSA-N,"InChI=1S/C6H10O3/c1-3-9-6(8)4-5(2)7/h3-4H2,1-2H3",-0.748251,2.35542,-0.696179,0.284149,1.88884,"Ethyl 3-oxobutanoate [Ethyl acetoacetate, EAA]"
123-39-7,,,ATHHXGZTWNVVOU-UHFFFAOYSA-N,"InChI=1S/C2H5NO/c1-3-2-4/h2H,1H3,(H,3,4)",-9.69134,-0.0557008,0.679486,1.61295,-0.157919,N-Methylformamide
75-11-6,,,NZZFYRREKKOMAT-UHFFFAOYSA-N,InChI=1S/CH2I2/c2-1-3/h1H2,1.29514,-3.46526,-1.53425,8.56989,-1.40893,DiIodomethane
4829-04-3,,,IMLSAISZLJGWPP-UHFFFAOYSA-N,InChI=1S/C3H6S2/c1-2-5-3-4-1/h1-3H2,1.96463,-1.62147,-1.88487,5.26654,-1.18131,"1,3-Dithiolane"
104-51-8,,,OCKPCBLVNKHBMX-UHFFFAOYSA-N,"InChI=1S/C10H14/c1-2-3-7-10-8-5-4-6-9-10/h4-6,8-9H,2-3,7H2,1H3",7.00782,-0.798998,0.999665,1.92594,-1.08044,Butylbenzene
62-53-3,,,PAYRUJLWNCNPSJ-UHFFFAOYSA-N,"InChI=1S/C6H7N/c7-6-4-2-1-3-5-6/h1-5H,7H2",-1.5456,-1.12968,1.48888,5.54665,-2.26104,Aniline
100-46-9,,,WGQKYBSKWIADBV-UHFFFAOYSA-N,"InChI=1S/C7H9N/c8-6-7-4-2-1-3-5-7/h1-5H,6,8H2",-1.06821,2.79804,-0.731378,2.89571,-1.80984,Benzylamine
104-76-7,,,YIWUKEYIRIRTPP-UHFFFAOYSA-N,"InChI=1S/C8H18O/c1-3-5-6-8(4-2)7-9/h8-9H,3-7H2,1-2H3",0.993743,1.28492,4.38946,-0.582807,-0.597953,2-Ethylhexanol
623-84-7,,,MLHOXUWWKVQEJB-UHFFFAOYSA-N,"InChI=1S/C7H12O4/c1-5(11-7(3)9)4-10-6(2)8/h5H,4H2,1-3H3",0.930551,3.81141,0.543572,-0.460096,2.31403,"1,2-Diacetoxypropane"
57-55-6,,,DNIAPMSPPWPWGF-UHFFFAOYSA-N,"InChI=1S/C3H8O2/c1-3(5)2-4/h3-5H,2H2,1H3",-8.82701,-0.147285,3.8777,0.751989,-0.726892,Propylene Glycol
591-50-4,,,SNHMUERNLJLMHN-UHFFFAOYSA-N,InChI=1S/C6H5I/c7-6-4-2-1-3-5-6/h1-5H,3.78768,-2.05131,-0.937117,5.83917,-0.898518,Iodobenzene
502-56-7,,,WSGCRAOTEDLMFQ-UHFFFAOYSA-N,"InChI=1S/C9H18O/c1-3-5-7-9(10)8-6-4-2/h3-8H2,1-2H3",3.79382,2.87354,0.484912,-0.569989,0.817048,5-Nonanone
67-68-5,5000,3,IAZDPXIOMUYVGZ-UHFFFAOYSA-N,InChI=1S/C2H6OS/c1-4(2)3/h1-2H3,-7.15801,4.00531,-3.9992,2.58802,0.563683,DMSO [Dimethylsulfoxide]
100-79-8,,,RNVYQYLELCKWAN-UHFFFAOYSA-N,"InChI=1S/C6H12O3/c1-6(2)8-4-5(3-7)9-6/h5,7H,3-4H2,1-2H3",-3.37704,2.79453,2.00933,0.16007,-0.215957,"(2,2-Dimethyl-1,3-dioxolan-4-yl)methanol"
112-36-7,,,RRQYJINTUHWNHW-UHFFFAOYSA-N,"InChI=1S/C8H18O3/c1-3-9-5-7-11-8-6-10-4-2/h3-8H2,1-2H3",0.844019,7.20545,0.165157,-2.46977,-0.429913,Diethyleneglycol diethyl ether
34590-94-8,,,WGYZMNBUZFHYRX-UHFFFAOYSA-N,"InChI=1S/C7H16O3/c1-6(8)4-10-7(2)5-9-3/h6-8H,4-5H2,1-3H3",-0.725119,5.01033,-0.563842,-1.54975,0.326459,DPM Glycol Ether [Dipropylene glycol methyl ether]
623-84-7,,,MLHOXUWWKVQEJB-UHFFFAOYSA-N,"InChI=1S/C7H12O4/c1-5(11-7(3)9)4-10-6(2)8/h5H,4H2,1-3H3",0.386778,3.77853,0.2427,-0.306994,2.03981,PGDA Glycol Ether [Propylene glycol diacetate]
111-55-7,,,JTXMVXSTHSMVQF-UHFFFAOYSA-N,"InChI=1S/C6H10O4/c1-5(7)9-3-4-10-6(2)8/h3-4H2,1-2H3",-0.216736,3.40473,-0.0766134,0.349723,2.52044,"Ethane-1,2-diyl diacetate [Ethylene glycol diacetate]"
100-47-0,,,JFDZBHWFFUWGJE-UHFFFAOYSA-N,InChI=1S/C7H5N/c8-6-7-4-2-1-3-5-7/h1-5H,0.383056,-0.366777,-2.01768,4.56559,1.60245,Benzonitrile
112-07-2,,,NQBXSWAWVZHKBZ-UHFFFAOYSA-N,"InChI=1S/C8H16O3/c1-3-4-5-10-6-7-11-8(2)9/h3-7H2,1-2H3",2.37524,4.24022,0.7754,-0.908827,1.39509,Butyl Cellosolve Acetate
121-69-7,,,JLTDJTHDQAWBAV-UHFFFAOYSA-N,"InChI=1S/C8H11N/c1-9(2)8-6-4-3-5-7-8/h3-7H,1-2H3",3.73842,-0.300555,-0.976462,4.21466,-2.21541,"N,N-Dimethylaniline"
111-77-3,,,SBASXUCJHJRPEV-UHFFFAOYSA-N,"InChI=1S/C5H12O3/c1-7-4-5-8-3-2-6/h6H,2-5H2,1H3",-2.86983,3.66759,-0.0660459,-1.06358,-0.431207,Methyl Carbitol [2-[2-(Methoxy)ethoxy]ethanol]
141-62-8,,,YFCGDEUVHLPRCZ-UHFFFAOYSA-N,"InChI=1S/C10H30O3Si4/c1-14(2,3)11-16(7,8)13-17(9,10)12-15(4,5)6/h1-10H3",14.593,5.71566,6.6462,-0.567117,0.952821,Decamethyltetrasiloxane [MD2M]
493-01-6,,,NNBZCPXTIHJBJL-UHFFFAOYSA-N,"InChI=1S/C10H18/c1-2-6-10-8-4-3-7-9(10)5-1/h9-10H,1-8H2",8.12087,-2.29608,1.35479,0.446118,-1.00533,cis-Decalin
100-61-8,,,AFBPFSWMIHJQDM-UHFFFAOYSA-N,"InChI=1S/C7H9N/c1-8-7-5-3-2-4-6-7/h2-6,8H,1H3",1.63624,-0.955885,0.70064,5.37834,-2.34949,N-Methylaniline
107-21-1,620,2,LYCAIKOWRPUZTN-UHFFFAOYSA-N,"InChI=1S/C2H6O2/c3-1-2-4/h3-4H,1-2H2",-10.7101,-1.88606,4.37327,1.45192,-1.03437,"Ethylene Glycol [1,2-Ethanediol]"
93-58-3,,,QPJVMBTYPHYUOC-UHFFFAOYSA-N,"InChI=1S/C8H8O2/c1-10-8(9)7-5-3-2-4-6-7/h2-6H,1H3",2.96534,1.54701,-0.093786,3.36085,0.582095,Methyl benzoate
